row_id,company_id,memory_type,statement,original_status,new_status,source,source_id,confidence,materiality,persistence,first_seen_at,last_seen_at,closed_at,duplicate_cluster_id,fanout_cluster_size,classification,dry_run_change_log_event
15,ASX,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
16,TXT,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
17,XTX,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
18,A2 MILK,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
19,ENDEAVOR GROUP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
21,NAB,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
22,BHP,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
23,KEY PETROLEUM,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
24,GCM CORPORATION,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
25,MARINO AND CO,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
26,CLARITY,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,expired,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,,fanout_0007,50,candidate_expire_duplicate_fanout,dry_run_expire
