row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any,sample_review_label,entity_text_present_in_statement,review_note
312,ASX,observed_fact,"Cockia's share price dropped 29% on the day of the recall announcement in September 2011, but then the share price took off from there",active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:07+00:00,2026-05-04T08:24:07+00:00,fanout_0009,50,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
204,ASX,observed_fact,is below 1 cent,active,0.72,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:49+00:00,2026-05-04T08:23:49+00:00,fanout_0010,50,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
150,ASX,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:41+00:00,2026-05-04T08:23:41+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
1648,ASX,observed_fact,Indeed's share price has more than halved since 2022 highs,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-05T04:19:16+00:00,2026-05-05T04:19:16+00:00,fanout_0040,25,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
151,TXT,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:41+00:00,2026-05-04T08:23:41+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
152,XTX,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:41+00:00,2026-05-04T08:23:41+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
153,A2 MILK,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:41+00:00,2026-05-04T08:23:41+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
154,ENDEAVOR GROUP,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:41+00:00,2026-05-04T08:23:41+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
155,ATLASSIAN,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:42+00:00,2026-05-04T08:23:42+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
156,NAB,observed_fact,Indeed's share price has more than halved since 2022,active,0.84,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:43+00:00,2026-05-04T08:23:43+00:00,fanout_0015,42,blocked_uncertain_signal_quality,do_not_touch_blocked,statement is too low-information or ambiguous for safe automated cleanup,medium,HIGH,yes,company_memory.sqlite:memory_entries,DATA_MISSING,blocked_uncertain,no,possible_future_manual_expiry_review
