row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any,sample_review_label,entity_text_present_in_statement,review_note
1,BHP,observed_fact,Test persistent memory entry,expired,0.8,company-manual:1776847431324173770,backend_manual,DATA_MISSING,DATA_MISSING,2026-04-22T08:43:51+00:00,2026-04-22T09:23:37+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,row is already inactive or manually expired; no cleanup mutation is needed,high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,no,sampled_for_operator_review
20,ATLASSIAN,observed_fact,ATLASSIAN's share price is up about 30% due to better-than-expected results,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:27+00:00,2026-05-04T08:23:27+00:00,fanout_0007,50,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
255,C79,observed_fact,Chrysos Corporation's share price fell 6.39% despite a positive trading update,active,0.8,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:57+00:00,2026-05-04T08:23:57+00:00,fanout_0008,50,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,no,sampled_for_operator_review
471,C79,catalyst,Positive trading update for Chrysos Corporation,active,0.72,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:32+00:00,2026-05-04T08:24:32+00:00,fanout_0016,42,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,no,sampled_for_operator_review
398,ATLASSIAN,catalyst,ATLASSIAN's better-than-expected results,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:20+00:00,2026-05-04T08:24:20+00:00,fanout_0018,41,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
717,NAB,observed_fact,"NAB's half-year results were not good, showing very little growth",active,0.79,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:25:13+00:00,2026-05-04T08:25:13+00:00,fanout_0020,34,preserve_company_specific,no_action_preserve,"row text explicitly targets NAB, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
560,ATLASSIAN,risk,AI fears for ATLASSIAN,active,0.69,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:47+00:00,2026-05-04T08:24:47+00:00,fanout_0023,27,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
74,ATLASSIAN,observed_fact,"ATLASSIAN's share price closed at $88.88, which is considered lucky in Chinese culture",active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:31+00:00,2026-05-04T08:23:31+00:00,fanout_0024,27,preserve_company_specific,no_action_preserve,"row text explicitly targets ATLASSIAN, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
630,IMPEDIMED,risk,Over issuance of shares by IMPEDIMED,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:58+00:00,2026-05-04T08:24:58+00:00,fanout_0026,27,preserve_company_specific,no_action_preserve,"row text explicitly targets IMPEDIMED, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,yes,sampled_for_operator_review
1123,C79,risk,Chrysos Corporation's unexpected negative market reaction to a positive update,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:26:55+00:00,2026-05-04T08:26:55+00:00,fanout_0032,26,preserve_company_specific,no_action_preserve,"row text explicitly targets CHRYSOS/C79/GCM, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING,preserve,no,sampled_for_operator_review
