existing	lane:financial-truth
existing	lane:evaluation
existing	lane:provenance
existing	lane:query-orchestration
existing	lane:memory
existing	lane:reporting
created	lane:repo-hygiene
created	lane:runtime
created	lane:cockpit
existing	mode:audit
created	mode:safe-extension
created	mode:implementation
created	mode:result-review
created	mode:issue-closeout
existing	priority:p0
created	priority:p1
created	priority:p2
created	priority:p3
existing	risk:high
created	risk:medium
created	risk:low
created	state:ready
created	state:running
created	state:blocked
created	state:data-missing
created	state:needs-review
created	state:needs-followup
created	state:parked
created	state:superseded
created	state:duplicate
created	state:done-audit-only
created	state:done-remediated
created	type:bug
created	type:regression-seed
created	type:validation-gap
created	type:control-plane
created	type:usability
created	type:ci
created	type:security
created	type:automation
created	type:docs
