row_id,company_id,memory_type,statement,source,source_id,status_before,status_after,first_seen_at,last_seen_at_before,last_seen_at_after,closed_at_before,closed_at_after,cleanup_timestamp,approval_id,mutation_path
262,ENDEAVOR GROUP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:58+00:00,2026-05-04T08:23:58+00:00,2026-05-04T08:23:58+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
266,KEY PETROLEUM,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
267,GCM CORPORATION,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
268,MARINO AND CO,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
270,WIN MEDALS,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
271,AXEN GROUP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
272,STRICKLAND METALS,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,2026-05-04T08:23:59+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
273,LION TOWN,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:24:00+00:00,2026-05-04T08:24:00+00:00,2026-05-04T08:24:00+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
276,BRAIN CHIP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:24:01+00:00,2026-05-04T08:24:01+00:00,2026-05-04T08:24:01+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
284,ACCENT GROUP,observed_fact,A2 MILK's share price dropped 10% due to a product recall,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,active,expired,2026-05-04T08:24:02+00:00,2026-05-04T08:24:02+00:00,2026-05-04T08:24:02+00:00,,,2026-05-13T05:55:27+00:00,approved_by_user_20260513_status_only_batch2_100_20260513_055527,docker_exec_fe_worker_status_only_sqlite_transaction
