row_id,cluster_id,prior_cluster_id,company_id,memory_type,statement,status,confidence,materiality,source,source_id,first_seen_at,last_seen_at,proposed_action,action_basis,cleanup_safe_without_approval,api_sequence,api_http_status,api_body
636,active_fanout_0001,fanout_0001,ASX,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:00+00:00,2026-05-04T08:25:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,1,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""ASX"", ""confidence"": 0.79, ""entity_id"": ""ASX"", ""entry_id"": 636, ""first_seen_at"": ""2026-05-04T08:25:00+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""ASX""}"
637,active_fanout_0001,fanout_0001,TXT,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:00+00:00,2026-05-04T08:25:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,2,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""TXT"", ""confidence"": 0.79, ""entity_id"": ""TXT"", ""entry_id"": 637, ""first_seen_at"": ""2026-05-04T08:25:00+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""TXT""}"
638,active_fanout_0001,fanout_0001,XTX,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:00+00:00,2026-05-04T08:25:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,3,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""XTX"", ""confidence"": 0.79, ""entity_id"": ""XTX"", ""entry_id"": 638, ""first_seen_at"": ""2026-05-04T08:25:00+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""XTX""}"
641,active_fanout_0001,fanout_0001,ATLASSIAN,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:00+00:00,2026-05-04T08:25:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,4,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""ATLASSIAN"", ""confidence"": 0.79, ""entity_id"": ""ATLASSIAN"", ""entry_id"": 641, ""first_seen_at"": ""2026-05-04T08:25:00+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""ATLASSIAN""}"
642,active_fanout_0001,fanout_0001,NAB,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:01+00:00,2026-05-04T08:25:01+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,5,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""NAB"", ""confidence"": 0.79, ""entity_id"": ""NAB"", ""entry_id"": 642, ""first_seen_at"": ""2026-05-04T08:25:01+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""NAB""}"
643,active_fanout_0001,fanout_0001,BHP,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:01+00:00,2026-05-04T08:25:01+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,6,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""BHP"", ""confidence"": 0.79, ""entity_id"": ""BHP"", ""entry_id"": 643, ""first_seen_at"": ""2026-05-04T08:25:01+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""BHP""}"
647,active_fanout_0001,fanout_0001,CLARITY,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,7,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""CLARITY"", ""confidence"": 0.79, ""entity_id"": ""CLARITY"", ""entry_id"": 647, ""first_seen_at"": ""2026-05-04T08:25:02+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""CLARITY""}"
652,active_fanout_0001,fanout_0001,IMRO,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,8,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""IMRO"", ""confidence"": 0.79, ""entity_id"": ""IMRO"", ""entry_id"": 652, ""first_seen_at"": ""2026-05-04T08:25:02+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""IMRO""}"
653,active_fanout_0001,fanout_0001,PENINSULA,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:03+00:00,2026-05-04T08:25:03+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,9,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""PENINSULA"", ""confidence"": 0.79, ""entity_id"": ""PENINSULA"", ""entry_id"": 653, ""first_seen_at"": ""2026-05-04T08:25:03+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""PENINSULA""}"
655,active_fanout_0001,fanout_0001,VERITUS,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:03+00:00,2026-05-04T08:25:03+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,10,200,"{""entry"": {""closed_at"": ""2026-05-13T05:18:56+00:00"", ""company_id"": ""VERITUS"", ""confidence"": 0.79, ""entity_id"": ""VERITUS"", ""entry_id"": 655, ""first_seen_at"": ""2026-05-04T08:25:03+00:00"", ""last_seen_at"": ""2026-05-13T05:18:56+00:00"", ""materiality"": 0.91, ""metadata"": {""contradicted_entry_ids"": [], ""published_at"": ""2026-05-04T08:15:01Z"", ""replaceable"": false, ""sentiment"": ""mixed"", ""signal_family"": ""risk"", ""signal_kind"": ""risk"", ""speaker"": ""Kneppy Invests"", ""specificity"": 0.78, ""superseded_entry_ids"": [], ""theme_key"": ""capital"", ""themes"": [""capital""], ""time_refs"": []}, ""normalized_statement"": ""pettimed's capital raising at 1 cent per share"", ""persistence"": ""short"", ""reinforcement_count"": 0, ""source"": ""commentary:youtube_transcript"", ""source_id"": ""youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796"", ""statement"": ""PETTIMED's capital raising at 1 cent per share"", ""status"": ""expired"", ""type"": ""risk""}, ""ok"": true, ""rule"": ""expire"", ""ticker"": ""VERITUS""}"
