row_id,cluster_id,prior_cluster_id,company_id,memory_type,statement,status,confidence,materiality,source,source_id,first_seen_at,last_seen_at,proposed_action,action_basis,cleanup_safe_without_approval,skip_reason
639,active_fanout_0001,fanout_0001,A2 MILK,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:00+00:00,2026-05-04T08:25:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
640,active_fanout_0001,fanout_0001,ENDEAVOR GROUP,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:00+00:00,2026-05-04T08:25:00+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
644,active_fanout_0001,fanout_0001,KEY PETROLEUM,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:01+00:00,2026-05-04T08:25:01+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
645,active_fanout_0001,fanout_0001,GCM CORPORATION,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:01+00:00,2026-05-04T08:25:01+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
646,active_fanout_0001,fanout_0001,MARINO AND CO,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
648,active_fanout_0001,fanout_0001,WIN MEDALS,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
649,active_fanout_0001,fanout_0001,AXEN GROUP,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
650,active_fanout_0001,fanout_0001,STRICKLAND METALS,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
651,active_fanout_0001,fanout_0001,LION TOWN,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:02+00:00,2026-05-04T08:25:02+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
654,active_fanout_0001,fanout_0001,BRAIN CHIP,risk,PETTIMED's capital raising at 1 cent per share,active,0.79,0.91,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,2026-05-04T08:25:03+00:00,2026-05-04T08:25:03+00:00,status_expire_candidate_after_approval,still_active_from_prior_high_confidence_expire_manifest,no,company_id_not_accepted_by_backend_expiry_api
