row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any
1,BHP,observed_fact,Test persistent memory entry,expired,0.8,company-manual:1776847431324173770,backend_manual,DATA_MISSING,DATA_MISSING,2026-04-22T08:43:51+00:00,2026-04-22T09:23:37+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,row is already inactive or manually expired; no cleanup mutation is needed,high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
2,AUA,observed_fact,"Audeara, ticker AUA on the ASX, is a company that sells headphones",active,0.77,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:42+00:00,2026-04-30T07:30:42+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
3,AUA,observed_fact,Audeara's market capitalization is approximately 10.32 million dollars,active,0.8,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:42+00:00,2026-04-30T07:30:42+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
4,AUA,operating_context,"Audeara reported positive operating cash flow of 359,000 dollars and free cash flow in their most recent Appendix 4C report",active,0.77,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
5,AUA,observed_fact,"Audeara's cash receipts have been increasing over time, with the best two quarters being in the March quarter",active,0.77,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
6,AUA,catalyst,Audeara's positive operating cash flow and free cash flow indicate potential for future growth,active,0.76,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
8,AUA,risk,Audeara's positive cash flow in the January quarter was partly due to government grants,active,0.74,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
10,AUA,risk,"There is some seasonality and lumpiness in Audeara's cash receipts, indicating potential volatility in future quarters",active,0.74,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
11,AUA,risk,"Audeara's share price has pulled back significantly, halving since its peak in February",active,0.74,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
13,AUA,risk,"The share price of Audeara has halved since its peak, indicating potential volatility in the market",active,0.74,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:36:36+00:00,2026-04-30T07:36:36+00:00,DATA_MISSING,DATA_MISSING,preserve_company_specific,no_action_preserve,"row text explicitly targets AUA, matching current entity scope",high,LOW,no,company_memory.sqlite:memory_entries,DATA_MISSING
