row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any
42,ASX,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
43,TXT,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
44,XTX,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
45,A2 MILK,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
46,ENDEAVOR GROUP,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
47,ATLASSIAN,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
48,NAB,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
49,BHP,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
50,KEY PETROLEUM,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
51,GCM CORPORATION,observed_fact,Tech strength has led to a rally in Asian stocks,active,0.74,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:28+00:00,2026-05-04T08:23:28+00:00,fanout_0028,27,preserve_macro_context_but_wrong_store,macro_memory_rehome_candidate_later,macro/strategy context is useful but stored as company memory; rehome only after source review and no live mutation in this lane,medium,HIGH,yes,company_memory.sqlite:memory_entries,market_memory.sqlite:macro_state
